# Commit ownership ledger -- one line per substantive commit: <sha><TAB><subject>
# Sorted by SHA so concurrent branches append to different regions and git
# auto-merges them; appending at the tail would conflict on every merge.
# Machine-maintained: add entries with
#   python3 scripts/ci/check_session_commit_claims.py --fix
000bb4695b6dee6b374543bc199f34555519e57c	Implement encounter model split
0044e587d60a40ff165c0123bca2415206b1b0da	Settle overworld traversal and revisit cadence
0061527b6046d106563a0ed4d5eaed08a3234356	Add the zero-content Slice 2 handoff for the next session
007741b258cc58a0f8e724a36907924576b85bca	Precedence check for DRC Group A before the owner walk
009d878f57c76100d68f231e53657a9473a62fe6	Guard the main-menu gate label at the 282 px width floor
00c9bba891a0ce63ebfe869e424e762641786067	Claim the B3 TCV slice
00fc0c93dfdb06c845539c042efbd8e6b7c4deb7	Fix returned saves using their own catalogue and migration identity
00fe05dd972cb2eb1530d0b94678a12d97414bcd	Replace FileDialog Escape interception with export naming modal
011d1ed52cb23e05d0abb8970a42b6f1e9b1adcd	Schedule S9, the CEUI precedence diff, as the next session
01f4e94dc50bee9e7ef6d7d40d955362eefc929d	Format tracked GDScript with gdtoolkit
01ff16720dbe45a00a0acae2b93e40e670e4a6c7	Record ratified owner decisions for the weapon-attack scorer
0240796613a7966915512ca72c9e5ea503c8788c	Record campaign resume atomicity handoff
024e68529e19f8acd9387f75c3580fb17f968a95	Register shared effect migration graph
030f977df134c2de5e64c1b110afb6c9ec41df56	Close v0.5.4 fix session
031303b75b9bcd1044e2893681fef8414ab899ce	Add Tier-2 class contract foundation
0337c487ccf5ad135f9cda838b8858557038d21a	Claim bridge observability checkpoint
03844d55f9a439564d6a7d04bfd1be8f3655d757	Make item custody, effects, and progression atomic
0483c399ea53b4b720cf6dd7be7357218c35cac0	Resolve the current Windows registry-gate preset
049bf2933198c94a7389d1a579c2a7a36c6b6079	Open the Proving Grounds with a trivial drill so acceptance runs are cheap
04a269d6d196cf648b3d79eb817ba73ff66fe3c6	Resolve active-pack unit sprite frames
04da828dc57297f3b9b92829c9aa10f9ddae252c	Record battle and campaign lifecycle diagnostics
05ac649ad059e1418f097e3cf22198f2efd73713	EW-10: quit-to-shell deactivates the campaign package
05bfdc54140e9d2118aacb97780b78d10439de6d	Preserve the v0.6.0 playtest return evidence on the docs line
06af9cfe5ff0944c62b6ad6d01fe38ca620750f7	Prove Session 7 against the authored FE proving-grounds pack
06e03861e3ce993fbf14899c3df05ab9d999b7fa	prepare v0.5.2 verification release
06ef326df5caf1847e31683da9363e9becf2dfa8	Fog plan: slices 1 and 3 are built; slice 2 is the visual-pass gate
0718929a9f20ade9c391a95b847dde19f1f33946	Record FileDialog filename modal handoff
07623d356d4a46374297848052d590a4890a50e5	Make a red suite name the failed check, not just count it
0768224be5b8382861c56a48f77aa0d7be224f65	Record owner answers for CSA-2,3,7,8,9,12,13,14,15,16,18-21,22-26
078c7c574efd98def9b66a279b5fa2cfc07cd509	Write the v0.7.17 round work order and its diagnostics programme
07c85f0d9e958ef9983fc35e09cbd5521c4d0cf5	Hand off the three remaining doc-consolidation orders
08679ea94d970bf59d4d169f58a9450a5a10945d	Prepare the v0.7.9 replacement candidate
08a9c91866328599649a38412084eed1a1ad453e	use viable v0.5 playtest fix ref
096749a80a52d712b275dc25822ec16b36d04b0f	Drop the redundant filename from the crossing-resolver citation
097d2beb05685d931ee2ef3114da8bc20d5b5f30	Author the compendium packet: CMP-1..15, three pre-ruled
09f09f10fc316c02df7a28db4b4e65731663d258	Bake the distribution-surface albums so they need no JavaScript
0a1bdf1784653317a72217860b9474c0220fbaa2	Draw the Band-4 / PREP-V1 boundary, with the restocking store as the end state
0b1668a6b250835208e3eb1422c0f7eafe1173cc	Add stable record screen restoration state
0bb965dda4a1e23572fac7dfa88455cdbfe4221f	Record compendium and run status rulings
0bcb161f0bdef6cc28c8756828b653a3199722de	record v0.5.2 playtest artifact identity
0c02a5b4f922e0816944a2203a4a341bc4e7ec00	Point next-session work at the tracker queue instead of restating it
0c3b8abef7d2e3eccbec4490271364f0d56c3098	Add v0.6.0 fix-goal handoff
0ca44480322a267185676b308c9745d8220f48c2	Verify pack skills documentation
0d1e5eaa4363772ec20369f8bcd76d32377b2cdf	Apply fired cadence triggers to node subscribers
0d69e87a2a5dd3fa4362ddb8d6fee99fe6fba9ea	Precedence diff for NMTE-1..20 before the owner walk
0d6aa7dc442ccf60f043c5493378a9b9746340c4	Close the V070-11 plan with what step 1 actually found
0e1212cbeea1ed4414d5d8eb2cdab13d8091cfb9	Correct the gated-entry guard's own output
0e17fd2ff8d2932c257119be3cad00663b1cedbc	Record responsive prep deployment research
0e6ab9aade52372d8fecf4841ada13c59fb5f833	Sync the policy block with the agent/staging-area flow
0f3ea7d61f50a8dd6ac0f4052d270236ef3dd758	Record post-v0.5 merge and review gate
0ff9dacfec25e8c4f1f6851df1e7bb0faaa41102	Record the v0.6.1 rebuild's verified artifact facts
1074817e5db50385ada2a6066b5c145b5fea2da0	Correct an overstated contradiction and fold displacement into the seam picture
107559bb64b5e16937c3c7412cd684780cffebc4	Close the prep activity registry session
1121fa34437f7d396f865203b3a8286a66846ce6	Record touch controls verification
